117,2rQF2EUdMIWql33I4YJMcN,Various Rock & Roll,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,20.0,2010-12-07,spotify:album:2rQF2EUdMIWql33I4YJMcN
118,41ZlNC1lzHGUyI558jhWNd,Hanky Panky (US Release),album,01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells,34.0,1966,spotify:album:41ZlNC1lzHGUyI558jhWNd
119,0lj5tDBUt1i1b1Llobu23M,When A Man Loves A Woman,album,3rRmDmzPcAFwcUDvG5gBqO,Percy Sledge,59.0,1966,spotify:album:0lj5tDBUt1i1b1Llobu23M
120,72qrnM4yUNMDDlWiqKc8iY,Aftermath (Remastered),album,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,58.0,1966-04-15,spotify:album:72qrnM4yUNMDDlWiqKc8iY
121,4pvPAWiVRHdnVXkOt49sKk,The Ultimate Petula Clark,album,6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,42.0,2003-04-14,spotify:album:4pvPAWiVRHdnVXkOt49sKk
122,2ZVgfQF9ljaMugBwVJMoM8,60's Gold,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,48.0,2006-01-01,spotify:album:2ZVgfQF9ljaMugBwVJMoM8
123,1pcRrY8NNtgnSdpWZfRdc0,The Best Of The Troggs,album,57xdnSVt4ahJCIXYLieQ25,The Troggs,45.0,1994-01-01,spotify:album:1pcRrY8NNtgnSdpWZfRdc0
124,6VyJ0GRhy0rRdmKP7rVuZu,Brady Days - Music Inspired By The Brady Bunch,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,49.0,2007-01-01,spotify:album:6VyJ0GRhy0rRdmKP7rVuZu
125,2ULhVPvdhT7RREnqRWM06G,Sunshine Superman,album,6vLlQYujOujIrm7zAKzEdG,Donovan,58.0,1966-09,spotify:album:2ULhVPvdhT7RREnqRWM06G
126,6pJkF95sYsVg3FJtTvTuEG,Sunny,album,2uNpV18izVIP7DNusoWbT5,Bobby Hebb,46.0,1966-01-01,spotify:album:6pJkF95sYsVg3FJtTvTuEG
127,7vEJAtP3KgKSpOHVgwm3Eh,1 (Remastered),album,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,75.0,2000-11-13,spotify:album:7vEJAtP3KgKSpOHVgwm3Eh
128,4LJ3eQxjZoUMkPEyQn8uA7,The Happenings,album,5ojumrbWWohLIuzArVoyDs,The Happenings,35.0,1966,spotify:album:4LJ3eQxjZoUMkPEyQn8uA7
